Nom Joueur,Twitter,Instagram,Facebook
Landreau,https://twitter.com/mickalandreau,,https://www.facebook.com/Mickael.Landreau?fref=photo
Lloris,,,https://www.facebook.com/pages/Hugo-Lloris/292935057469075?fref=ts
Ruffier,,,
Debuchy,https://twitter.com/MatDebuchy,,https://www.facebook.com/pages/Mathieu-Debuchy/424697417552857?sk=timeline
Digne,https://twitter.com/LDigne,http://instagram.com/lucasdigne21,https://www.facebook.com/pages/Lucas-Digne/171287292937554
Evra,,,
Koscielny,,,https://www.facebook.com/pages/Laurent-Koscielny-Officiel/170315866358525
Mangala,https://twitter.com/Elia22Mangala,http://instagram.com/eliamangala,https://www.facebook.com/eliaquim.mangala.officiel
Sagna,https://twitter.com/Sagnaofficial,,
Sakho,https://twitter.com/mamadousakho3,http://instagram.com/mamadousakho3,https://www.facebook.com/mamadousakho
Varane,https://twitter.com/raphaelvarane,http://instagram.com/varaneoficial,https://www.facebook.com/raphaelvaraneofficiel
Cabaye,https://twitter.com/YCabayeofficiel,,https://www.facebook.com/pages/Yohan-Cabaye-Officiel/358277040875742
Matuidi,https://twitter.com/MATUIDIBlaise,http://instagram.com/blaisematuidiofficiel,https://www.facebook.com/pages/Blaise-Matuidi-Page-Officielle-/225655120832072
Mavuba,https://twitter.com/riomavuba24,http://instagram.com/riomav,https://www.facebook.com/riomavubaofficiel
Pogba,https://twitter.com/paulpogba,http://instagram.com/paulpogba_6,
Schneiderlin,https://twitter.com/SchneiderlinMo4,,https://www.facebook.com/SchneiderlinMo4?fref=photo
Sissoko,https://twitter.com/ms_sissoko,,
Valbuena,,,
Benzema,https://twitter.com/Benzema,http://instagram.com/karimbenzema,
Cabella,https://twitter.com/RemyCabella10,http://instagram.com/remycabella10,https://www.facebook.com/pages/R%C3%A9my-Cabella-Officiel/147773105315853?fref=ts
Giroud ,https://twitter.com/_OlivierGiroud_,http://instagram.com/olivier_giroud,https://www.facebook.com/pages/Olivier-Giroud-La-Page-Officielle/173406902676331
Griezmann,https://twitter.com/AntoGriezmann,http://instagram.com/antogriezmann,https://www.facebook.com/antoine.griezmann
Remy,https://twitter.com/OfficialLRemy14,,https://www.facebook.com/pages/Lo%C3%AFc-R%C3%A9my/129383680441942
,,,
FFF,https://twitter.com/FFF,http://instagram.com/equipedefrance,https://www.facebook.com/equipedefrance
Equipe de France,https://twitter.com/equipedefrance,,
,,,
Erwan le Prevost Team Manager,https://twitter.com/LeprevostLe,,
Guillaume Bigot Responsable rédaction fff.fr,https://twitter.com/bigotguillaume6,,
François Vasseur Responsable Marque et Promotion,https://twitter.com/fr_vasseur,,
,,,
Florent Soulez Supporter,https://twitter.com/FLOSOULEZ,,
Les Irresistible Français,,,https://www.facebook.com/IrresistiblesFrancais?ref=ts
Supporter Officiel,https://twitter.com/IF_Supporters,,
